#### Data file for bias curve
# threshold : threshold for PATCH7 trigger loggic
# trigger_cnt : trigger count at Digicam level
# readout_cnt : count of events that are shipped out of Digicam
# dropped_cnt : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_cnt	time
# DATA
0	50342067	50053	50292014	10.269781400
1	80219345	79746	80139599	16.364746232
2	105941411	105321	105836090	21.612048104
3	82256893	81776	82175117	16.780503280
4	62956584	62636	62893948	12.853699192
5	71501162	71835	71429327	14.741107696
6	66603279	69652	66533627	14.293164464
7	52985083	62049	52923034	12.733679496
8	63206021	97335	63108686	19.972128160
9	25189733	66071	25123662	13.557320448
10	64439158	378976	64060182	77.763495088
11	15463032	236779	15226253	48.584039008
12	1966733	83302	1883431	17.092694200
13	613987	71835	542152	14.741020240
14	292495	91489	201006	18.772348808
15	247948	198448	49500	40.721210280
16	82039	82039	0	32.162407760
17	37529	37529	0	31.458555504
18	84074	84074	0	146.137049160
19	16362	16362	0	56.886620472
21	15394	15394	0	201.688523400
22	5628	5628	0	129.195567880
23	2442	2442	0	96.112636448
24	4078	4078	0	257.663755232
25	1287	1287	0	124.156202544
30	477	477	0	153.175899888
50	136	136	0	112.950166736
70	75	75	0	118.453156912
100	29	29	0	96.008684432
