#### Data file for bias curve
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_count	time
# DATA
0	136956494	136102	136820392	27.939124744
1	69986021	69570	69916451	14.277148272
2	72181840	71755	72110085	14.725095288
3	69632843	69215	69563628	14.205106368
4	75852799	75421	75777378	15.476978848
5	158655688	158403	158497285	32.506394592
6	162380626	165650	162214976	34.002256088
7	75741329	82575	75658754	16.948953856
8	56360985	72534	56288451	14.885237216
9	155030799	289514	154741285	59.414286536
10	102252813	367778	101885035	75.475821792
11	52689136	467042	52222094	95.848563032
12	7689082	195578	7493504	40.137267096
13	4602869	358856	4244013	73.651916696
14	528208	130897	397311	26.867565016
15	119144	93628	25516	19.220441888
16	181487	181487	0	95.504834696
17	19152	19152	0	32.866506064
18	11595	11595	0	63.413586704
19	3498	3498	0	57.702444368
20	3208	3208	0	140.241581968
21	2035	2035	0	183.979227768
22	3914	3914	0	561.105358888
23	309	309	0	58.102402832
24	211	211	0	45.968251832
25	175	175	0	36.329860104
30	265	265	0	83.002654688
40	113	113	0	50.119646264
50	29	29	0	29.291314024
70	29	29	0	63.749605120
100	22	22	0	74.419768320
