#### Data file for bias curve at 125MHz DAC = 311 readout window 50
# threshold : threshold for PATCH7 trigger loggic
# trigger_cnt : trigger count at Digicam level
# readout_cnt : count of events that are shipped out of Digicam
# dropped_cnt : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_cnt	time
# DATA
0	51230395	50939	51179456	10.451000424
2	55116472	54707	55061765	11.243760672
4	70677399	70152	70607247	14.418457608
6	51994971	51917	51943054	10.663552072
8	43648831	45655	43603176	9.379886144
10	43132601	51219	43081382	10.518369256
11	39474760	51350	39423410	10.536125512
12	43517498	63442	43454056	13.023728712
13	226716691	380955	226335736	78.178565280
14	137342167	274605	137067562	56.354677936
15	21578374	53324	21525050	10.948172936
16	433516882	1369258	432147624	280.942597288
17	15844802	66449	15778353	13.646761168
18	10355627	60279	10295348	12.377021576
19	7138685	59702	7078983	12.264217584
20	11657760	144914	11512846	29.753339000
21	3750055	71088	3678967	14.595497048
22	1583145	46861	1536284	9.624642688
23	1112978	52634	1060344	10.813957232
24	768643	58999	709644	12.113812568
25	400415	50736	349679	10.421754928
26	233368	49563	183805	10.174735376
27	147517	53230	94287	10.931983416
28	141439	86777	54662	17.818762296
29	67584	67556	28	14.670699704
30	41703	41703	0	16.048020560
31	61927	61927	0	42.021235328
32	9549	9549	0	11.335579232
34	2461	2461	0	9.510602720
36	1265	1265	0	17.102631880
38	4668	4668	0	203.856857192
40	267	267	0	30.948476416
42	202	202	0	63.613456912
