#### Data file for bias curve at 660MHz DAC = 339
# threshold : threshold for PATCH7 trigger loggic
# trigger_cnt : trigger count at Digicam level
# readout_cnt : count of events that are shipped out of Digicam
# dropped_cnt : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_cnt	time
# DATA
0	50694696	75586	50619110	10.341717976
5 	49884169	74417	49809752	10.181870888
10	80179863	125161	80054702	17.124706968
15	78759618	140299	78619319	19.196550312
20	63728147	155560	63572587	21.284295192
22	30017092	90959	29926133	12.445509384
25	16536502	77867	16458635	10.653782136
27	18819848	132295	18687553	18.100679376
28	11112426	97104	11015322	13.285363288
30	9313041	136033	9177008	18.612509696
32	3067896	81374	2986522	11.133765928
34	1890427	92714	1797713	12.685431784
36	944931	89029	855902	12.181625232
38	516831	96925	419906	13.261490552
40	237921	91717	146204	12.549427824
42	219146	179350	39796	24.539562984
44	51591	51591	0	12.477516304
46	33128	33128	0	17.732854712
48	9774	9774	0	12.173641392
50	9273	9273	0	26.563411696
52	7358	7358	0	49.887797784
54	3307	3307	0	55.183065536
56	1150	1150	0	45.688365664
58	542	542	0	54.646983480
60	254	254	0	57.790649720
62	233	233	0	117.893456672
64	72	72	0	60.438174816
70	30	30	0	67.820942616
80	27	27	0	69.124871160
