#### Data file for bias curve DAC 277, path 192
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_count	time
# DATA
0	109470147	108779	109361368	22.331909888
1	91081340	90542	90990798	18.580593256
2	72103408	71670	72031738	14.709095176
3	66182833	65788	66117045	13.501300856
4	110634678	109990	110524688	22.572001496
5	79118239	78888	79039351	16.188920512
6	79609059	80759	79528300	16.572906632
7	62492941	66841	62426100	13.717306448
8	43552934	53199	43499735	10.917716608
9	32549469	53427	32496042	10.965806208
10	19748168	55265	19692903	11.341597056
11	16550775	100317	16450458	20.588273528
12	5389331	82429	5306902	16.916836736
13	1818521	74948	1743573	15.381043808
14	779630	91905	687725	18.860535040
15	335178	109913	225265	22.556009864
16	190799	181486	9313	37.265837992
17	56946	56946	0	32.354470616
18	11765	11765	0	19.196531160
20	3789	3789	0	47.663998320
21	879	879	0	27.659261544
22	775	775	0	51.919461872
23	324	324	0	41.145093704
24	224	224	0	38.377596480
25	240	240	0	45.520466704
30	45	45	0	14.757225304
40	30	30	0	15.693067032
50	64	64	0	62.429835096
70	32	32	0	46.928268552
100	14	14	0	47.368164064
