#### Data file for bias curve DAC 288, patch 192
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_count	time
# DATA
0	18229707	18123	18211584	3.718860000
1	20856474	20735	20835739	4.254720736
2	174872268	173839	174698429	35.673942680
3	60457879	60091	60397788	12.333409712
4	101893817	101293	101792524	20.788165240
5	73294161	73039	73221122	14.989143384
6	50499455	51051	50448404	10.477883224
7	47452413	50196	47402217	10.301877568
8	52657238	62123	52595115	12.749417808
9	63559961	93890	63466071	19.268517768
10	30162430	65748	30096682	13.493281840
11	30875811	117707	30758104	24.155713888
12	8908566	67267	8841299	13.805338672
13	4222405	67458	4154947	13.845303504
14	1778021	62942	1715079	12.917496160
15	756674	59749	696925	12.261589760
16	310384	55770	254614	11.445728600
17	131299	54056	77243	11.093747424
18	61678	58188	3490	11.941627416
19	26811	26811	0	12.125466776
20	16200	16200	0	16.996718552
21	5742	5742	0	13.893332288
22	2409	2409	0	14.181227488
23	1289	1289	0	17.764855864
24	1226	1226	0	39.993310904
25	333	333	0	21.444239400
30	121	121	0	41.216926768
40	62	62	0	40.401173744
50	59	59	0	42.264873184
70	20	20	0	37.281654608
100	15	15	0	49.495867344
