#### Data file for bias curve DAC 295, patch 192
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_count	time
# DATA
0	12778806	12705	12766101	2.606876504
1	54341915	54016	54287899	11.085750432
2	101824323	101220	101723103	20.772161744
3	55282488	54953	55227535	11.277627688
4	65750611	65358	65685253	13.413425840
5	44466381	44228	44422153	9.078058968
6	66993214	66958	66926256	13.741333504
7	58988819	59748	58929071	12.261574256
8	42817637	44431	42773206	9.118530816
9	87198651	93771	87104880	19.244333104
10	55235696	62166	55173530	12.757461640
11	17327590	20616	17306974	4.230801168
12	40359796	51405	40308391	10.549747408
13	41886298	57986	41828312	11.901426960
14	40126429	61418	40065011	12.605509064
15	28447446	49258	28398188	10.109803568
16	25017376	50434	24966942	10.349807632
17	20566085	49416	20516669	10.141889848
18	30763483	91163	30672320	18.708479928
19	17881049	67467	17813582	13.845393184
20	12024360	59239	11965121	12.157623896
20.1	5344887	59239	11965121	6.5264162
20.2	9148300	59239	11965121	10.957702008
20.3	26758308	59239	11965121	31.882421880
21	10785881	71554	10714327	14.685209824
22	10521051	96259	10424792	19.756385912
23	4880921	63485	4817436	13.029480664
