#### Data file for bias curve dark 500 ped
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_cnt	time
# DATA
0	27638564	27479	27611085	5.638266944
1	213728760	212424	213516336	43.600667120
2	108137264	107503	108029761	22.060002560
3	99080162	98497	98981665	20.212360992
4	152542416	151662	152390754	31.122630480
5	90618349	90346	90528003	18.540679408
6	136850434	138563	136711871	28.435072752
7	94230915	99929	94130986	20.508532000
8	91582287	109907	91472380	22.556094224
9	80812691	129787	80682904	26.635421560
10	32106735	90545	32016190	18.580516128
11	12514894	82284	12432610	16.884594360
12	4731723	87192	4644531	17.892714128
13	2485926	142341	2343585	29.210785264
14	518566	93541	425025	19.196394496
15	241452	142863	98589	29.314849056
16	50434	50434	0	17.716731304
17	28427	28427	0	37.409585552
18	7789	7789	0	34.066091952
19	4356	4356	0	56.590536560
20	1227	1227	0	45.368169560
21	761	761	0	64.853521496
22	596	596	0	76.875278944
23	183	183	0	32.922240736
24	336	336	0	67.572952008
25	301	301	0	65.389313504
26	259	259	0	61.613747968
28	214	214	0	60.870095392
30	140	140	0	44.576540432
35	150	150	0	61.469865872
40	158	158	0	98.816288304
50	153	153	0	120.709062384
60	67	67	0	102.431723192
